Date_ID,Date_ID_Int,Date_Short,Fiscal_Year_SK,Fiscal_Year,Date_ID_LY,Date_ID_LLY,Fiscal_Half_SK,Fiscal_Half,Fiscal_Quarter_SK,Fiscal_Quarter,Fiscal_Month_SK,Fiscal_Month,Fiscal_Week_SK,Fiscal_Week_No,Fiscal_Week,Fiscal_Week_Year,Day_No_Of_Week,Day_Of_Week,Calendar_Year_SK,Calendar_Year,Calendar_Half_SK,Calendar_Half,Calendar_Quarter_SK,Calendar_Quarter,Calendar_Month_SK,Calendar_Month,Financial_Year_SK,Financial_Year,Financial_Quarter_SK,Financial_Quarter,Financial_Month_SK,Financial_Month,Fiscal_Month_No,Fiscal_Month_Name,Financial_Month_No,Financial_Month_Name,Fiscal_Week_End_Date_ID,Fiscal_Week_End_Date_Short,Yesterday__Week,Today__Week,Yesterday__Last_7_Days,Today__Last_7_Days,Yesterday__Next_7_Days,Today__Next_7_Days,Yesterday__Next_Week,Today__Next_Week,Last_Week__Last_8_Weeks,Last_Week__Last_13_Weeks,Last_Week__Last_26_Weeks,Last_Week__Last_52_Weeks,Last_Week__Last_104_Weeks,This_Week__Last_8_Weeks,This_Week__Last_13_Weeks,This_Week__Last_26_Weeks,This_Week__Last_52_Weeks,This_Week__Last_104_Weeks,This_Week__Last_Next_52_Weeks,This_Week__Next_104_Weeks,This_Week__Next_26_Weeks,This_Week__Next_52_Weeks,This_Week__Next_8_Weeks,This_Month__Last_Next_12_Months,This_Month__Last_Next_12_Calendar_Months,Last_Month__Last_12_Calendar_Months,This_Month__Last_12_Calendar_Months,Last_Month__Last_24_Calendar_Months,This_Month__Last_24_Calendar_Months,This_Month__Next_12_Calendar_Months,This_Month__Next_24_Calendar_Months,Last_Week__HTD,Last_Week__YTD,Last_Week__Full_Year,Last_Week__Last_Year,This_Week__Full_Year,This_Week__Last_Year,Last_Week__Full_Year_Last_Year,This_Week__Full_Year_Last_Year,Last_Month__Last_12_Months,This_Month__Last_12_Months,Last_Month__Last_24_Months,This_Month__Last_24_Months,This_Month__Next_12_Months,This_Month__Next_24_Months,Last_Month__Last_12_Financial_Months,This_Month__Last_12_Financial_Months,Last_Month__Last_24_Financial_Months,This_Month__Last_24_Financial_Months,Last_Month__Full_Financial_Year,This_Month__Full_Financial_Year,Fiscal_Year_SK_Filter,Fiscal_Year_Filter
20211016,20211016,10/16/2021,2022,2022,20201017,20191019,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202216,16,Week 16,Week 16 2022,6,Saturday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211017,10/17/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211017,20211017,10/17/2021,2022,2022,20201018,20191020,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202216,16,Week 16,Week 16 2022,7,Sunday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211017,10/17/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211018,20211018,10/18/2021,2022,2022,20201019,20191021,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202217,17,Week 17,Week 17 2022,1,Monday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211024,10/24/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211019,20211019,10/19/2021,2022,2022,20201020,20191022,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202217,17,Week 17,Week 17 2022,2,Tuesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211024,10/24/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211020,20211020,10/20/2021,2022,2022,20201021,20191023,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202217,17,Week 17,Week 17 2022,3,Wednesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211024,10/24/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211021,20211021,10/21/2021,2022,2022,20201022,20191024,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202217,17,Week 17,Week 17 2022,4,Thursday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211024,10/24/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211022,20211022,10/22/2021,2022,2022,20201023,20191025,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202217,17,Week 17,Week 17 2022,5,Friday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211024,10/24/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211023,20211023,10/23/2021,2022,2022,20201024,20191026,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202217,17,Week 17,Week 17 2022,6,Saturday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211024,10/24/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211024,20211024,10/24/2021,2022,2022,20201025,20191027,20221,Half 1 2022,20222,Qtr 2 2022,202204,Oct-21,202217,17,Week 17,Week 17 2022,7,Sunday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,4,October,4,October,20211024,10/24/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211025,20211025,10/25/2021,2022,2022,20201026,20191028,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202218,18,Week 18,Week 18 2022,1,Monday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,5,November,4,October,20211031,10/31/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211026,20211026,10/26/2021,2022,2022,20201027,20191029,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202218,18,Week 18,Week 18 2022,2,Tuesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,5,November,4,October,20211031,10/31/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211027,20211027,10/27/2021,2022,2022,20201028,20191030,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202218,18,Week 18,Week 18 2022,3,Wednesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,5,November,4,October,20211031,10/31/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211028,20211028,10/28/2021,2022,2022,20201029,20191031,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202218,18,Week 18,Week 18 2022,4,Thursday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,5,November,4,October,20211031,10/31/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
