Product_ID,Product_ID_Int,Style_REF1_Code,Style_REF1_Name,Style_REF2_Code,Style_REF2_Name,Style_REF3_Code,Style_REF3_Name,Style_REF4_Code,Style_REF4_Name,Style_REF5_Code,Style_REF5_Name,Style_REF10_Code,Style_REF10_Name,Style_REF11_Code,Style_REF11_Name,Style_REF11_Parent_Code,Style_REF11_Parent_Name,Style_Colour_REF1_Code,Style_Colour_REF1_Name,Style_Colour_REF2_Code,Style_Colour_REF2_Name,Style_Colour_REF3_Code,Style_Colour_REF3_Name,Style_Colour_REF4_Code,Style_Colour_REF4_Name,Style_Colour_REF5_Code,Style_Colour_REF5_Name,Style_Colour_REF6_Code,Style_Colour_REF6_Name,Style_Colour_REF7_Code,Style_Colour_REF7_Name,Style_Colour_REF8_Code,Style_Colour_REF8_Name,Style_Colour_REF9_Code,Style_Colour_REF9_Name,Style_Colour_REF10_Code,Style_Colour_REF10_Name,Colour_REF1_Code,Colour_REF1_Name,Colour_REF2_Code,Colour_REF2_Name,Colour_REF3_Code,Colour_REF3_Name,Product_CAD_Image_URL,Style_HS_Code,Style_Country_Of_Origin,Inventory_Age_Category,Datasource_Code,Product_Internal_ID,Clr_Internal_ID,Style_Internal_ID,Style_Code,Style_Name,Style_Code_Name,Style_Code_Name_Colour_Name,Style_Name_Colour_Name,Style_Code_Colour_Name,Style_Colour_Code,Style_Colour_Name,SKU_Size_Value,SKU_Size_Name,SKU_Size_Range_Name,Barcode_Primary,Barcode_Secondary,Store_First_Received_Date_ID,Store_First_Received_Date_Short,Store_First_Received_Weeks_Since,Store_Last_Received_Date_ID,Store_Last_Received_Date_Short,Store_Last_Received_Weeks_Since,Last_Sale_Date_ID,Last_Sale_Date_Short,Last_Sale_Weeks_Since,Warehouse_Last_Received_Date_ID,Warehouse_Last_Received_Date_Short,Warehouse_Last_Received_Weeks_Since,Warehouse_Last_Received_Date_ID_LY,Warehouse_Last_Received_Date_Short_LY,Warehouse_Last_Received_Weeks_Since_LY,First_Received_Date_ID,First_Received_Date_Short,First_Sale_Date_ID,First_Sale_Date_Short,First_Order_Date_ID,First_Order_Date_Short,New_Item_Status,Image_URL,Style_Preferred_Supplier_Code,Style_Preferred_Supplier_Name,Standard_Unit_Cost,Standard_Unit_Cost_Text_Sort,Standard_Unit_Cost_Text,Current_Retail_Price_Incl_Tax_Text_Sort,Current_Retail_Price_Incl_Tax_Text,Current_Retail_Price_Incl_Tax,Current_Retail_Price_Excl_Tax,Original_Retail_Price_Incl_Tax_Text_Sort,Original_Retail_Price_Incl_Tax_Text,Original_Retail_Price_Incl_Tax,Original_Retail_Price_Excl_Tax,First_Margin_Pct_Sort,First_Margin_Pct,Markdown_Status,Purchase_Rate,Purchase_Currency_Code,Purchase_Arrival_Zone_Name,Purchase_Departure_Zone_Name,Import_Costing_Date_ID,Import_Costing_Date_Short
2773,2773,Buwahahahah,Buwahahahah,AA APPAREL,AA APPAREL,SHORTS,SHORTS,SHORTS,SHORTS,NULL,NULL,Product,Product,FG,Finished Goods,FG,Finished Goods,2021,2021,Q321,Q321,BuwahahahahSEPT21,BuwahahahahSEPT21,2022/12,2022/12,NULL,NULL,N,NO,NULL,NULL,Q321,Q321,MARKDOWN,MARKDOWN,YES,YES,WHITE,WHITE,N,NO,NON PRINT,NON PRINT,NULL,6104620015,CHINA,AGED (1-2 YEARS),AP21_Core,15652,320,139,21RE3092,Emb Sig Logo Sweat Shrts 603,21RE3092 Emb Sig Logo Sweat Shrts 603,21RE3092 Emb Sig Logo Sweat Shrts 603 (WHITE),Emb Sig Logo Sweat Shrts 603 (WHITE),21RE3092 WHT,WHT,WHITE,NULL,NULL,NULL,NULL,NULL,20220404,4/4/2022,74,20220404,4/4/2022,74,20230831,8/31/2023,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/S30-21RE3092_SignatureLogoSweatShorts603_White-21732-Ahehe-D2-51463.jpg?v=1649049585,1ACT,Active Apparel ,35.27,35.27,35.27,44,44,44,40,110,110,110,100,64.70%,64.70%,MD,NULL,NULL,NULL,NULL,NULL,NULL
3198,3198,Ahehe,Ahehe,RTW,RTW,SKIRTS,SKIRTS,SKIRTS,SKIRTS,NULL,NULL,Product,Product,FG,Finished Goods,FG,Finished Goods,2021,2021,RE21,RE21,SCENTOFSUMMER21,ScentofSummer21,2022/17,2022/17,NULL,NULL,N,NO,NULL,NULL,RE21,RE21,MARKDOWN,MARKDOWN,YES,YES,WHITE,WHITE,N,NO,NON PRINT,NON PRINT,NULL,62045200,CHINA,AGED (1-2 YEARS),AP21_Core,1589,401,175,21RE4033,Syros Denim Pocket Skirt,21RE4033 Syros Denim Pocket Skirt,21RE4033 Syros Denim Pocket Skirt (WHITE),Syros Denim Pocket Skirt (WHITE),21RE4033 WHT,WHT,WHITE,8,8,Apr-18,9.35004E+12,,20220404,4/4/2022,74,20220404,4/4/2022,74,20230610,6/10/2023,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/S17-21RE4033_SyrosDenimPocketSkirt_White-CitrusYellow-21830-Ahehe-54690_frontshot.jpg?v=1649073326,1UAI,Union Apparel International Ltd.,59.44,59.44,59.44,148,148,148,134.545455,295,295,295,268.181818,77.80%,77.80%,MD,NULL,NULL,NULL,NULL,NULL,NULL
4906,4906,Ahehe,Ahehe,RTW,RTW,KNITWEAR&JUMPER,KNITWEAR AND JUMPERSSS,JUMPERSSS,JUMPERSSS,NULL,NULL,Product,Product,FG,Finished Goods,FG,Finished Goods,2021,2021,SS21,SS21,REIMAGINATION21,Reimagination21,NULL,NULL,NULL,NULL,N,NO,NULL,NULL,SS21,SS21,MARKDOWN,MARKDOWN,YES,YES,WHITE,WHITE,N,NO,NON PRINT,NON PRINT,NULL,6109100006,CHINA,AGED (1-2 YEARS),AP21_Core,2917,781,323,21SS1375,Phonetic Jumper,21SS1375 Phonetic Jumper,21SS1375 Phonetic Jumper (WHITE),Phonetic Jumper (WHITE),21SS1375 WHT,WHT,WHITE,S,S,XXS - XXL,9.35004E+12,,20220830,8/30/2022,53,20220830,8/30/2022,53,20220902,9/2/2022,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/S33-21SS1375_Phonetic_Jumper_White-21540-Ahehe-1826_detailshot.jpg?v=1657703697,1HEW,HEWEN,27.97,27.97,27.97,90,90,90,81.818182,225,225,225,204.545455,86.30%,86.30%,MD,NULL,NULL,NULL,NULL,NULL,NULL
8792,8792,Ahehe,Ahehe,RTW,RTW,PANTERS,PANTERS,PANTERS,PANTERS,NULL,NULL,Product,Product,FG,Finished Goods,FG,Finished Goods,2020,2020,SU20,SU20,REVERENCE20,REVERENCE20,2020/43,2020/43,NULL,NULL,N,NO,NULL,NULL,SU20,SU20,MARKDOWN,MARKDOWN,YES,YES,BLACK,BLACK,N,NO,NON PRINT,NON PRINT,NULL,620461,CHINA,AGED (2+ YEARS),AP21_Core,5834,1750,738,20AJ3015,Coda Ring Trouser,20AJ3015 Coda Ring Trouser,20AJ3015 Coda Ring Trouser (BLACK),Coda Ring Trouser (BLACK),20AJ3015 BLK,BLK,BLACK,8,8,Apr-18,22357,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0158/0190/products/S40-20AJ2004_Coda_Ring_Blazer_Black-20239-Ahehe-0985_f8606dff-0b1d-4e1a-af1f-a3a4fe9d9f97.jpg?v=1587964423,1WNG,Wng Designs (Hk) Limited,75.11,75.11,75.11,130,130,130,118.181818,325,325,325,295.454545,74.60%,74.60%,MD,NULL,NULL,NULL,NULL,NULL,NULL
10747,10747,Ahehe,Ahehe,RTW,RTW,DRESSES,DRESSES,DRESSES,DRESSES,NULL,NULL,Product,Product,FG,Finished Goods,FG,Finished Goods,2020,2020,RE20,RE20,CHROMA20,CHROMA20,2021/19,2021/19,NULL,NULL,N,NO,NULL,NULL,RE20,RE20,MARKDOWN,MARKDOWN,YES,YES,NATURAL,NATURAL,N,NO,NULL,NULL,NULL,620452,CHINA,AGED (2+ YEARS),AP21_Core,7162,2369,994,20RE4095,Framework Denim Midi Skirt,20RE4095 Framework Denim Midi Skirt,20RE4095 Framework Denim Midi Skirt (STONE),Framework Denim Midi Skirt (STONE),20RE4095 STNE,STNE,STONE,4,4,Apr-18,25163,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/S3-20RE4095_Framework_Denim_Midi_Skirt_Stone-20753-Ahehe-1864.jpg?v=1623793021,1UAI,Union Apparel International Ltd.,85.47,85.47,85.47,175,175,175,159.090909,355,355,355,322.727273,73.50%,73.50%,MD,NULL,NULL,NULL,NULL,NULL,NULL
14178,14178,Ahehe,Ahehe,ACCESSORIES,ACCESSORIES,FOOTWEAR,FOOTWEAR,HEELS,HEELS,NULL,NULL,Product,Product,FG,Finished Goods,FG,Finished Goods,2021,2021,SS21,SS21,REIMAGINATION21,Reimagination21,2022/07,2022/07,NULL,NULL,N,NO,NULL,NULL,SS21,SS21,MARKDOWN,MARKDOWN,YES,YES,NATURAL,NATURAL,N,NO,NULL,NULL,NULL,6109100006,CHINA,AGED (1-2 YEARS),AP21_Core,18569,3218,1332,21SS7001,Utopia Heel,21SS7001 Utopia Heel,21SS7001 Utopia Heel (NATURAL),Utopia Heel (NATURAL),21SS7001 NAT,NAT,NATURAL,NULL,NULL,NULL,NULL,NULL,20220512,5/12/2022,69,20220512,5/12/2022,69,20230413,4/13/2023,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/S34-21SS7001_Utopia_Heel_Natural-21533-Ahehe-0328_frontshot.jpg?v=1650409396,1MIR,"Miraseen Corp., Ltd.",108.41,108.41,108.41,138,138,138,125.454545,345,345,345,313.636364,65.40%,65.40%,MD,NULL,NULL,NULL,NULL,NULL,NULL
14697,14697,Buwahahahah,Buwahahahah,AA APPAREL,AA APPAREL,KNITWEAR&JUMPER,KNITWEAR AND JUMPERSSS,CREWS,CREWS,NULL,NULL,Product,Product,FG,Finished Goods,FG,Finished Goods,2022,2022,Q322,Q322,BuwahahahahAUG22,BuwahahahahAUG22,2023/07,NULL,NULL,NULL,N,NO,NULL,NULL,Q322,Q322,MARKDOWN,MARKDOWN,YES,YES,PINK,PINK,N,NO,NULL,NULL,NULL,61103000,CHINA,BECOMING AGED,AP21_Core,10079,3387,1399,223AA1005,BRAIDED CREW JUMPER 401,223AA1005 BRAIDED CREW JUMPER 401,223AA1005 BRAIDED CREW JUMPER 401 (BLUSH),BRAIDED CREW JUMPER 401 (BLUSH),223AA1005 BLSH,BLSH,BLUSH,12,12,Apr-18,9.35004E+12,,20220801,8/1/2022,57,20220801,8/1/2022,57,20230830,8/30/2023,1,20220726,7/26/2022,58,20220726,7/26/2022,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/S13-223AA1005-BraidedCrewJumper401-22567-AheheBuwahahahah-D1-0392.jpg?v=1660026970,1ACT,Active Apparel ,55,55,55,98,98,98,89.090909,195,195,195,177.272727,69.00%,69.00%,MD,NULL,NULL,NULL,NULL,NULL,NULL
16365,16365,Ahehe,Ahehe,RTW,RTW,KIDS,KIDS,KIDS JUMPERSSS,KIDS JUMPERSSS,100%COTTON,100% COTTON,Product,Product,FG,Finished Goods,FG,Finished Goods,2022,2022,SS22,SS22,PROVENANCE22,PROVENANCE22,2023/03,2023/03,NULL,NULL,N,NO,NULL,NULL,SS22,SS22,MARKDOWN,MARKDOWN,YES,YES,BLACK,BLACK,N,NO,NULL,NULL,https://res.cloudinary.com/Ahehewholesaling/image/upload/v1655785898/107780-26995/21SS1149/BLK WHT/1-2004.jpg,6110200053,CHINA,CURRENT,AP21_Core,11407,3722,1515,21SS1149,Clementine Kids Logo Jumper,21SS1149 Clementine Kids Logo Jumper,21SS1149 Clementine Kids Logo Jumper (BLACK/WHITE),Clementine Kids Logo Jumper (BLACK/WHITE),21SS1149 BLK WHT,BLK WHT,BLACK/WHITE,1,1,0 - 8,9.3594E+12,,20220714,7/14/2022,60,20220714,7/14/2022,60,20230901,9/1/2023,1,20220715,7/15/2022,60,20220715,7/15/2022,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/S15-21SS1149-BLACK-WHITEClementineKidsClassicLogoJumper-22504-Ahehe-B-0090.jpg?v=1657595657,1HEW,HEWEN,18.2192,18.22,18.22,43,43,43,39.090909,95,95,95,86.363636,78.90%,78.90%,MD,0.73,USD,AUSTRALIA,CHINA,20220615,6/15/2022
20017,20017,Ahehe,Ahehe,RTW,RTW,BODYER,BODYER,0,0,60%VS-38%C-8%E,60% VISCOSE 32% NYLON 8%ELASTANE,Product,Product,FG,Finished Goods,FG,Finished Goods,2022,2022,SS22,SS22,PROVENANCE22,PROVENANCE22,2023/13,NULL,NULL,NULL,N,NO,BODYER LOVER,BODYER LOVER,SS22,SS22,MARKDOWN,MARKDOWN,YES,YES,BLACK,BLACK,N,NO,NON PRINT,NON PRINT,NULL,61143000,CHINA,CURRENT,AP21_Core,14324,4450,1798,22SS1730,Parfum Corset Crop Knit Top,22SS1730 Parfum Corset Crop Knit Top,22SS1730 Parfum Corset Crop Knit Top (BLACK),Parfum Corset Crop Knit Top (BLACK),22SS1730 BLK,BLK,BLACK,M,M,XXS - XXL,9.35004E+12,,20220915,9/15/2022,51,20220915,9/15/2022,51,20230728,7/28/2023,6,20220920,9/20/2022,50,20220823,8/23/2022,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/bubbleskirt.jpg?v=1663643982,1JIA,"Tongxiang Jiayu Fashion Co.,Ltd.",24.1667,24.17,24.17,70,70,70,63.636364,155,155,155,140.909091,82.80%,82.80%,MD,NULL,NULL,NULL,NULL,NULL,NULL
20399,20399,Ahehe,Ahehe,RTW,RTW,PANTERS,PANTERS,PANTERS,PANTERS,55%LIN-45%CO,55% LINEN 45% COTTON,Product,Product,FG,Finished Goods,FG,Finished Goods,2022,2022,SS22,SS22,PROVENANCE22,PROVENANCE22,2023/01,2023/01,NULL,NULL,N,NO,SOPHISTICTD WMN,SOPHISTICATED WOMAN,SS22,SS22,MARKDOWN,MARKDOWN,YES,YES,BLACK,BLACK,N,NO,NON PRINT,NON PRINT,NULL,62046900,CHINA,CURRENT,AP21_Core,19897,4530,1832,22SS3302,Tate Wide Leg Pant,22SS3302 Tate Wide Leg Pant,22SS3302 Tate Wide Leg Pant (BLACK),Tate Wide Leg Pant (BLACK),22SS3302 BLK,BLK,BLACK,NULL,NULL,NULL,NULL,NULL,20220616,6/16/2022,64,20220616,6/16/2022,64,20230825,8/25/2023,2,20220721,7/21/2022,59,20220721,7/21/2022,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://cdn.shopify.com/s/files/1/0267/0795/1690/products/S10-22SS3302-BLACKTateWideLegPant-22456-Ahehe-7216.jpg?v=1656373965,1SUP,Supertex Intl Jiangyin Jiaxiang,54.7639,54.76,54.76,148,148,148,134.545455,295,295,295,268.181818,79.60%,79.60%,MD,NULL,NULL,NULL,NULL,NULL,NULL
